Agent Outbound Messages Send ID,Concierge QA Audit Scores Total Intent Identified Score Count,Concierge QA Audit Scores Total Necessary Reply Score Count,Concierge QA Audit Scores Total Correct Escalation Score Count,Concierge QA Audit Scores Total Double Text Score Count,Concierge QA Audit Scores Total Efficient Troubleshooting Score Count,Concierge QA Audit Scores Total Partial Reply Score Count,Concierge QA Audit Scores Total Company Profile Score Count,Concierge QA Audit Scores Total Conversation Score Count,Concierge QA Audit Scores Total Customer Profile Score Count,Concierge QA Audit Scores Total Notes Score Count,Concierge QA Audit Scores Total Promo Notes Score Count,Concierge QA Audit Scores Total Templates Score Count,Concierge QA Audit Scores Total Correct Grammar Score Count,Concierge QA Audit Scores Total No Repetition Score Count,Concierge QA Audit Scores Total No Typos Score Count,Concierge QA Audit Scores Total Understandable Message Score Count,Concierge QA Audit Scores Total Empathetic Score Count,Concierge QA Audit Scores Total Personalized Score Count,Concierge QA Audit Scores Total Preferred Tone Followed Score Count
019bb417-2ef1-4708-f000-0000ee413682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019ce7b2-aae4-4e3e-f000-00012ae4bb1e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019ba3d7-7625-4dc3-f000-000079e4abf2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c1607-7241-40c0-f000-0000f5299711,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d1738-fe63-41b2-f000-00012cdc92ea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019ce79b-1951-4683-f000-00012a0cf64d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c497d-6e7f-45bb-f000-0000fa6ca0cc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019ca123-303a-41fd-f000-0000fc0061f0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c155e-e80d-4016-f000-0000f6cea2ca,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c9642-c7cb-4243-f000-0000fdd0d61b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c5e73-f811-4e70-f000-0000fb5a0791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c9561-dce2-49b4-f000-0000f58e612f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c7c9b-82f2-498c-f000-0000fc4a9456,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d3c5b-6763-4e97-f000-0000f354b6de,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019cd8bd-ccfa-4c80-f000-0000c4bf201a,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d26bd-feea-461e-f000-00012b30c64e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d3b3b-3439-4035-f000-00012ec2639d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c3a1e-27f3-4c88-f000-0000bf7ce07c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
